,merge,path,smell,entropy,setname,class,select,features,criticality,rate,comments,multi,coupling,changehistory,cohesion,size,complexity,production,testing,selected_cohesion,selected_coupling,selected_size,selected_complexity,selected_changehistory,selected_production,selected_testing
0,True,E:\reports\nasac\revised_nasac\report\blob\all\org.apache.cassandra.config.CFMetaData_merged_1.txt,blob,2.8432975221330468,all,org.apache.cassandra.config.CFMetaData,True,"['LOC', 'CBO', 'TCC_type', 'WMC', 'RFC', 'NOAM_type', 'C3', 'number_constructor_NotDefaultConstructor_methods', 'num_final_static_attributes', 'NOPA_type', 'LCOM5_type']",2,,"
There are utilitity methods that should be moved in another class
",False,0,0,0,0,0,1,0,1,1,1,1,0,0,0
1,True,E:\reports\nasac\revised_nasac\report\blob\all\org.apache.cassandra.config.DatabaseDescriptor_merged_2.txt,blob,2.949131361298867,all,org.apache.cassandra.config.DatabaseDescriptor,True,"['LOC', 'CBO', 'WMC', 'NOAM_type', 'TCC_type', 'num_final_static_attributes', 'RFC', 'number_constructor_NotDefaultConstructor_methods', 'NOCS_package', 'number_private_visibility_attributes', 'C3']",2,,"
Too much LOC. The class is difficult to understand
",False,0,0,0,1,1,0,0,1,1,1,1,0,0,0
2,True,E:\reports\nasac\revised_nasac\report\blob\all\org.apache.cassandra.cql3.statements.SelectStatement_merged_3.txt,blob,2.9843896076289997,all,org.apache.cassandra.cql3.statements.SelectStatement,True,"['LOC', 'CBO', 'WMC', 'TCC_type', 'C3', 'num_final_static_attributes', 'NOAM_type', 'RFC', 'NOCS_package', 'LCOM5_type', 'Readability']",2,,"
Too much LOC, few comments. Class difficult to understand
",False,0,0,0,1,1,0,0,1,1,1,1,0,0,0
3,True,E:\reports\nasac\revised_nasac\report\blob\all\org.apache.cassandra.cql3.statements.SelectStatementTest_merged_4.txt,blob,3.107715315691892,all,org.apache.cassandra.cql3.statements.SelectStatementTest,True,"['CBO', 'LOC', 'WMC', 'TCC_type', 'NOAM_type', 'num_final_static_attributes', 'RFC', 'C3', 'number_private_visibility_attributes', 'NOCS_package', 'number_constructor_NotDefaultConstructor_methods']",2,,"
Very complex class
",False,0,0,0,0,1,0,0,1,1,1,1,0,0,0
4,True,E:\reports\nasac\revised_nasac\report\blob\all\org.apache.cassandra.db.ColumnFamilyStore_merged_5.txt,blob,2.941860208768237,all,org.apache.cassandra.db.ColumnFamilyStore,True,"['LOC', 'WMC', 'NOAM_type', 'CBO', 'RFC', 'TCC_type', 'C3', 'num_final_static_attributes', 'number_constructor_NotDefaultConstructor_methods', 'NOCS_package', 'number_private_visibility_attributes']",2,,"
Complex class
",False,0,0,0,0,1,0,0,1,1,1,1,0,0,0
5,True,E:\reports\nasac\revised_nasac\report\blob\all\org.apache.cassandra.db.ColumnFamilyStoreTest_merged_6.txt,blob,3.0421996378978142,all,org.apache.cassandra.db.ColumnFamilyStoreTest,True,"['LOC', 'WMC', 'CBO', 'NOAM_type', 'RFC', 'num_final_static_attributes', 'TCC_type', 'number_private_visibility_attributes', 'number_constructor_NotDefaultConstructor_methods', 'MPC', 'NOCS_package']",2,,"
Very complex class
",False,0,0,0,0,1,0,0,1,1,1,1,0,0,0
6,True,E:\reports\nasac\revised_nasac\report\blob\all\org.apache.cassandra.db.compaction.CompactionManager_merged_7.txt,blob,2.990077164759837,all,org.apache.cassandra.db.compaction.CompactionManager,True,"['LOC', 'CBO', 'WMC', 'NOAM_type', 'TCC_type', 'WOC_type', 'num_final_static_attributes', 'RFC', 'C3', 'number_private_visibility_attributes', 'LCOM5_type']",2,,"
Too much LOC, too confused
",False,0,0,0,1,1,0,0,1,1,1,1,0,0,0
7,True,E:\reports\nasac\revised_nasac\report\blob\all\org.apache.cassandra.db.context.CounterContext_merged_8.txt,blob,2.972725692397582,all,org.apache.cassandra.db.context.CounterContext,True,"['LOC', 'CBO', 'WMC', 'NOAM_type', 'TCC_type', 'num_final_static_attributes', 'RFC', 'number_private_visibility_attributes', 'C3', 'LCOM5_type', 'NOCS_package']",2,,"
Low cohesion
",False,0,0,1,0,0,0,0,1,1,1,1,0,0,0
8,True,E:\reports\nasac\revised_nasac\report\blob\all\org.apache.cassandra.db.SystemKeyspace_merged_9.txt,blob,3.149268754958669,all,org.apache.cassandra.db.SystemKeyspace,True,"['CBO', 'LOC', 'WMC', 'WOC_type', 'TCC_type', 'NOAM_type', 'num_final_static_attributes', 'RFC', 'Readability', 'C3', 'NOCS_package']",2,,"
High number of LOC, high complexity
",False,0,0,0,1,1,0,0,1,1,1,1,0,0,0
9,True,E:\reports\nasac\revised_nasac\report\blob\all\org.apache.cassandra.gms.Gossiper_merged_10.txt,blob,2.9941007462589164,all,org.apache.cassandra.gms.Gossiper,True,"['LOC', 'CBO', 'WMC', 'WOC_type', 'RFC', 'NOAM_type', 'C3', 'num_final_static_attributes', 'TCC_type', 'NOCS_package', 'number_constructor_NotDefaultConstructor_methods']",2,,"
Too much LOC, too confused
",False,0,0,0,1,1,0,0,1,1,1,1,0,0,0
10,True,E:\reports\nasac\revised_nasac\report\blob\all\org.apache.cassandra.hadoop.pig.CqlNativeStorage_merged_11.txt,blob,2.9704885274403967,all,org.apache.cassandra.hadoop.pig.CqlNativeStorage,True,"['LOC', 'CBO', 'WMC', 'NOAM_type', 'RFC', 'TCC_type', 'num_final_static_attributes', 'number-changes', 'WOC_type', 'LCOM5_type', 'C3']",2,,"
Too much LOC
",False,0,0,0,1,0,0,0,1,1,1,1,1,0,0
11,True,E:\reports\nasac\revised_nasac\report\blob\all\org.apache.cassandra.io.sstable.SSTableReader_merged_12.txt,blob,2.958822750387824,all,org.apache.cassandra.io.sstable.SSTableReader,True,"['LOC', 'WMC', 'NOAM_type', 'TCC_type', 'CBO', 'num_final_static_attributes', 'RFC', 'number_constructor_NotDefaultConstructor_methods', 'number_private_visibility_attributes', 'C3', 'NOCS_package']",2,,"
It's a blob
",False,0,0,0,1,0,0,0,1,1,1,1,0,0,0
12,True,E:\reports\nasac\revised_nasac\report\blob\all\org.apache.cassandra.io.sstable.SSTableRewriterTest_merged_13.txt,blob,3.0060078497937956,all,org.apache.cassandra.io.sstable.SSTableRewriterTest,True,"['LOC', 'WMC', 'CBO', 'NOAM_type', 'WOC_type', 'C3', 'num_final_static_attributes', 'RFC', 'number_constructor_NotDefaultConstructor_methods', 'TCC_type', 'number_package_visibility_methods']",2,,"
Too much LOC, code confused
",False,0,0,0,1,1,0,0,1,1,1,1,0,0,0
13,True,E:\reports\nasac\revised_nasac\report\blob\all\org.apache.cassandra.locator.TokenMetadata_merged_14.txt,blob,3.1708968215819175,all,org.apache.cassandra.locator.TokenMetadata,True,"['LOC', 'WMC', 'CBO', 'NOPA_type', 'NOAM_type', 'WOC_type', 'RFC', 'TCC_type', 'C3', 'num_final_static_attributes', 'number_private_visibility_attributes']",2,,"
Too much LOC, too methods in the class
",False,0,0,0,1,0,0,0,1,1,1,1,0,0,0
14,True,E:\reports\nasac\revised_nasac\report\blob\all\org.apache.cassandra.metrics.ColumnFamilyMetrics_merged_15.txt,blob,3.1193070582217115,all,org.apache.cassandra.metrics.ColumnFamilyMetrics,True,"['CBO', 'WMC', 'LOC', 'NOAM_type', 'RFC', 'TCC_type', 'num_final_static_attributes', 'number_private_visibility_attributes', 'MPC', 'NOCS_package', 'number_constructor_NotDefaultConstructor_methods']",2,,"
Too much LOC
",False,0,0,0,1,0,0,0,1,1,1,1,0,0,0
15,True,E:\reports\nasac\revised_nasac\report\blob\all\org.apache.cassandra.net.MessagingService_merged_16.txt,blob,2.997770987340036,all,org.apache.cassandra.net.MessagingService,True,"['WMC', 'CBO', 'LOC', 'NOAM_type', 'RFC', 'TCC_type', 'C3', 'num_final_static_attributes', 'number_constructor_NotDefaultConstructor_methods', 'number_private_visibility_attributes', 'number_protected_visibility_methods']",2,,"
Class difficult to understand
",False,0,0,0,0,1,0,0,1,1,1,1,0,0,0
16,True,E:\reports\nasac\revised_nasac\report\blob\all\org.apache.cassandra.service.StorageProxy_merged_17.txt,blob,2.8651358185093394,all,org.apache.cassandra.service.StorageProxy,True,"['LOC', 'WMC', 'CBO', 'WOC_type', 'TCC_type', 'NOAM_type', 'RFC', 'num_final_static_attributes', 'LCOM5_type', 'number_constructor_NotDefaultConstructor_methods', 'is_controller']",2,,"
Too much LOC
",False,0,0,0,1,0,0,0,1,1,1,1,0,1,0
