,merge,path,smell,entropy,setname,class,select,features,criticality,rate,comments,multi,coupling,changehistory,cohesion,size,complexity,production,testing,selected_cohesion,selected_coupling,selected_size,selected_complexity,selected_changehistory,selected_production,selected_testing
0,True,E:\reports\nasac\revised_nasac\report\complex-class\all\jena.schemagen_merged_0.txt,complex-class,2.9206822977245612,all,jena.schemagen,True,"['WMC', 'CBO', 'RFC', 'DIT_type', 'number_private_visibility_attributes', 'number_constructor_NotDefaultConstructor_methods', 'WOC_type', 'TCC_type', 'NOAM_type', 'NOA_type']",1,,"
poorly understandable.
",False,0,0,0,0,1,0,0,1,1,1,1,0,0,0
1,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cassandra.cli.CliClient_merged_1.txt,complex-class,2.777150115208326,all,org.apache.cassandra.cli.CliClient,True,"['WMC', 'CBO', 'RFC', 'NOAM_type', 'number_constructor_NotDefaultConstructor_methods', 'TCC_type', 'NMO_type', 'NOA_type', 'number_public_visibility_methods', 'DIT_type']",1,,"
the client has some problems and does too many things. However, since it doesnt change too much, I would not consider this as a priority. 
",False,0,1,0,0,0,1,0,1,1,1,1,0,0,0
2,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cassandra.config.CFMetaData_merged_2.txt,complex-class,2.6709451155169757,all,org.apache.cassandra.config.CFMetaData,True,"['WMC', 'CBO', 'RFC', 'NOAM_type', 'number_public_visibility_methods', 'WOC_type', 'DIT_type', 'Avg-commit-size', 'number_private_visibility_attributes', 'TCC_type']",1,,"
the class is overly complex, at some point someone should simplify it.
",False,0,0,0,0,1,0,0,1,1,1,1,1,0,0
3,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cassandra.config.DatabaseDescriptor_merged_3.txt,complex-class,2.6025553370943983,all,org.apache.cassandra.config.DatabaseDescriptor,True,"['RFC', 'CBO', 'NOA_type', 'TCC_type', 'num_final_attributes', 'NOPA_type', 'NOAM_type', 'DIT_type', 'WOC_type', 'number_public_visibility_methods']",1,,"
too many loops that could be simplified, too many conditions checked. 
",False,0,0,0,0,1,0,0,1,1,1,1,0,0,0
4,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cassandra.cql3.statements.SelectStatement_merged_4.txt,complex-class,2.933278884496531,all,org.apache.cassandra.cql3.statements.SelectStatement,True,"['WMC', 'CBO', 'RFC', 'NOAM_type', 'WOC_type', 'number_public_visibility_methods', 'number_protected_visibility_methods', 'num_final_attributes', 'NOCS_package', 'DIT_type']",1,,"
the complexity may be reduced, but this is not the moment. 
",False,0,0,0,0,1,0,0,0,1,1,1,0,0,0
5,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cassandra.db.ColumnFamilyStore_merged_5.txt,complex-class,3.0962213717926215,all,org.apache.cassandra.db.ColumnFamilyStore,True,"['WMC', 'CBO', 'RFC', 'LOC', 'TCC_type', 'DIT_type', 'NOAM_type', 'number_public_visibility_methods', 'NOCS_package', 'number_private_visibility_attributes']",1,,"
the class is generally complex because it performs some tasks needed for the DB management, it is hard to understand how to refactor.
",False,0,0,0,0,1,1,0,1,1,1,1,0,0,0
6,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cassandra.db.SystemKeyspace_merged_6.txt,complex-class,2.823375976327234,all,org.apache.cassandra.db.SystemKeyspace,True,"['WMC', 'CBO', 'RFC', 'NOAM_type', 'WOC_type', 'number_public_visibility_methods', 'TCC_type', 'number_private_visibility_attributes', 'DIT_type', 'number_package_visibility_attributes']",1,,"
it may be refactored for comprehensibility, but it works and so there is no need now to do it. 
",False,0,0,0,0,1,0,0,1,1,1,1,0,0,0
7,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cassandra.gms.Gossiper_merged_7.txt,complex-class,3.11082316192161,all,org.apache.cassandra.gms.Gossiper,True,"['WMC', 'CBO', 'DIT_type', 'RFC', 'number_public_visibility_methods', 'TCC_type', 'NOAM_type', 'WOC_type', 'NOA_type', 'num_final_attributes']",1,,"
the class is surely poorly understandable, yet I would postpone the refactoring till its stable.
",False,0,0,0,0,1,0,0,1,1,1,1,0,0,0
8,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cassandra.io.sstable.SSTableReader_merged_8.txt,complex-class,2.890580782120379,all,org.apache.cassandra.io.sstable.SSTableReader,True,"['WMC', 'CBO', 'RFC', 'NOAM_type', 'number_public_visibility_methods', 'WOC_type', 'NOA_type', 'DIT_type', 'number_private_visibility_attributes', 'TCC_type']",1,,"
this is something we were considering since the class is complex enough not to allow everybody to work on it. We will do that at some oiint.
",False,0,0,0,0,1,0,0,1,1,1,1,0,0,0
9,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cassandra.service.StorageService_merged_10.txt,complex-class,2.8446071305901754,all,org.apache.cassandra.service.StorageService,True,"['WMC', 'CBO', 'RFC', 'NOAM_type', 'WOC_type', 'number_public_visibility_methods', 'TCC_type', 'DIT_type', 'NOCS_package', 'number_private_visibility_attributes']",1,,"
the service is a legacy code
",False,0,0,0,0,0,1,0,1,1,1,1,0,0,0
10,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cassandra.service.StorageServiceMBean_merged_11.txt,complex-class,2.817316584926655,all,org.apache.cassandra.service.StorageServiceMBean,True,"['WMC', 'CBO', 'RFC', 'TCC_type', 'WOC_type', 'number_private_visibility_attributes', 'number_public_visibility_methods', 'NOAM_type', 'NOCS_package', 'WMCNAMM_type']",1,,"
the class is too complex.
",False,0,0,0,0,1,0,0,1,1,1,1,0,0,0
11,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cassandra.thrift.CassandraServer_merged_12.txt,complex-class,2.9688696381882154,all,org.apache.cassandra.thrift.CassandraServer,True,"['WMC', 'CBO', 'RFC', 'DIT_type', 'WOC_type', 'NOCS_package', 'TCC_type', 'number_public_visibility_methods', 'NOAM_type', 'number_private_visibility_attributes']",1,,"
the sever actions are legacy, but a refactoring aimed at reducing its complexity may be worth.
",False,0,0,0,0,1,0,0,1,1,1,1,0,0,0
12,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cassandra.thrift.CfDef_merged_13.txt,complex-class,2.813203016519342,all,org.apache.cassandra.thrift.CfDef,True,"['WMC', 'CBO', 'RFC', 'number_final_methods', 'NOA_type', 'number_private_visibility_attributes', 'NOAM_type', 'NOII_type', 'DIT_type', 'number_final_static_methods']",1,,"
this class would need some massaging to increase readability, but is not that urgent IMO
",False,0,0,0,0,1,0,0,0,1,1,1,0,0,0
13,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cassandra.tools.NodeProbe_merged_14.txt,complex-class,2.73217252106829,all,org.apache.cassandra.tools.NodeProbe,True,"['WMC', 'CBO', 'RFC', 'NOAM_type', 'WOC_type', 'TCC_type', 'number_constructor_NotDefaultConstructor_methods', 'DIT_type', 'number_constructor_DefaultConstructor_methods', 'NOA_type']",1,,"
a number of loops may be simplified. 
",False,0,0,0,0,1,0,0,1,1,1,1,0,0,0
14,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cayenne.access.translator.ejbql.EJBQLConditionTranslator_merged_15.txt,complex-class,2.1918498848735446,all,org.apache.cayenne.access.translator.ejbql.EJBQLConditionTranslator,True,"['WMC', 'CBO', 'number_final_methods', 'NOAM_type', 'RFC', 'NOA_type', 'number_constructor_NotDefaultConstructor_methods', 'WOC_type', 'num_final_not_static_attributes', 'DIT_type']",2,,"
there are too many conditions covered, it needs to be found a way to simplify the class.
",False,0,0,0,0,1,0,0,0,1,1,1,0,0,0
15,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cayenne.dba.oracle.OracleResultSetWrapper_merged_16.txt,complex-class,1.6962732427931713,all,org.apache.cayenne.dba.oracle.OracleResultSetWrapper,True,"['WMC', 'CBO', 'RFC', 'NOA_type', 'DIT_type', 'num_final_attributes', 'NOAM_type', 'NOI_package', 'LCOM5_type', 'number_private_visibility_attributes']",2,,"
it wraps too many arguments and this makes the class unreadable.
",False,0,0,0,1,0,0,0,1,1,1,1,0,0,0
16,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cayenne.exp.ExpressionFactory_merged_17.txt,complex-class,1.8562934925784669,all,org.apache.cayenne.exp.ExpressionFactory,True,"['WMC', 'CBO', 'RFC', 'is_procedural', 'WOC_type', 'NOAM_type', 'LCOM5_type', 'NOI_package', 'DIT_type', 'NOCS_package']",2,,"
the factory is hard to understand and every time I make a change I spend a lot of time.
",False,0,1,0,0,1,1,0,1,1,1,1,0,1,0
17,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cayenne.map.DataMap_merged_18.txt,complex-class,2.1713834995890537,all,org.apache.cayenne.map.DataMap,True,"['WMC', 'CBO', 'NOCS_package', 'DIT_type', 'WOC_type', 'RFC', 'NOAM_type', 'number_public_visibility_methods', 'WMCNAMM_type', 'number_private_visibility_attributes']",2,,"
It is an extreme case of complexity that may be solved.
",False,0,0,0,0,1,0,0,0,1,1,1,0,0,0
18,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cayenne.map.MapLoader_merged_19.txt,complex-class,2.139927839294564,all,org.apache.cayenne.map.MapLoader,True,"['WMC', 'CBO', 'RFC', 'NOAM_type', 'WOC_type', 'number_public_visibility_methods', 'DIT_type', 'NOA_type', 'num_final_attributes', 'NOCS_package']",2,,"
this is a complex class with too many methods
",False,0,0,0,0,1,0,0,0,1,1,1,0,0,0
19,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cayenne.map.ObjEntity_merged_20.txt,complex-class,2.12433515085994,all,org.apache.cayenne.map.ObjEntity,True,"['WMC', 'CBO', 'RFC', 'WOC_type', 'DIT_type', 'NOAM_type', 'TCC_type', 'number_public_visibility_methods', 'WMCNAMM_type', 'number-committors']",2,,"
i am aware of the high complexity of the class, i am currently working to reduce it.
",False,0,0,0,0,1,0,0,1,1,1,1,1,0,0
20,True,E:\reports\nasac\revised_nasac\report\complex-class\all\org.apache.cayenne.modeler.ProjectController_merged_21.txt,complex-class,1.9848134919141267,all,org.apache.cayenne.modeler.ProjectController,True,"['WMC', 'CBO', 'RFC', 'NOAM_type', 'number_public_visibility_methods', 'NOCS_package', 'number_constructor_NotDefaultConstructor_methods', 'WOC_type', 'number_private_visibility_attributes', 'DIT_type']",2,,"
it is too complex, should be refactored.
",False,0,0,0,0,1,0,0,0,1,1,1,0,0,0
